VIN_NUMBER,VEHICLE_TYPE,MILEAGE,COLOUR,MANUFACTURER
1ZA55858541,Cutaway van chassis,115352,RED,MAN
1ZA51858542,Flatbed truck,315856,BLUE,ISUZU
1ZA35858543,Medium Standard Truck,789587,SILVER,MAN
1ZA15851545,Flatbed truck,555050,WHITE,TATA
1ZA35868540,Cutaway van chassis,79058,WHITE,ISUZU
1ZA65858541,Cutaway van chassis,215352,RED,MAN
1ZA61858542,Flatbed truck,215856,BLUE,ISUZU
1ZA65858543,Medium Standard Truck,889587,SILVER,MERC
1ZA65851545,Flatbed truck,155050,WHITE,MAN
1ZA65868540,Cutaway van chassis,19058,WHITE,ISUZU
1ZA75858541,Cutaway van chassis,315352,RED,MAN
1ZA71858542,Flatbed truck,115856,BLUE,ISUZU
1ZA75858543,Medium Standard Truck,989587,SILVER,MAN
1ZA17851545,Flatbed truck,755050,WHITE,TATA
1ZA75868540,Cutaway van chassis,29058,WHITE,ISUZU
1ZA85858541,Cutaway van chassis,515352,RED,MERC
1ZA81858542,Flatbed truck,715856,BLUE,ISUZU
1ZA85858543,Medium Standard Truck,789587,SILVER,MAN
1ZA85851545,Flatbed truck,955050,WHITE,TATA
1ZA85868540,Cutaway van chassis,39058,WHITE,MERC
